,home_team,home_score,away_team,away_score,day_of_week,month,day_of_month,year,time,attendance,stadium,a_href
0,Tottenham Hotspur,0,Manchester City,0,Saturday,August,14,2010,12:45,35928,White Hart Lane (London / England),https://www.worldfootball.net/venues/white-hart-lane-london/
0,Wigan Athletic,0,Blackpool FC,4,Saturday,August,14,2010,15:00,16152,DW Stadium (Wigan / England),https://www.worldfootball.net/venues/dw-stadium-wigan/
0,Bolton Wanderers,0,Fulham FC,0,Saturday,August,14,2010,15:00,20352,Reebok Stadium (Bolton / England),https://www.worldfootball.net/venues/university-of-bolton-stadium-bolton/
0,Wolverhampton Wanderers,2,Stoke City,1,Saturday,August,14,2010,15:00,27850,Molineux Stadium (Wolverhampton / England),https://www.worldfootball.net/venues/molineux-stadium-wolverhampton/
0,Aston Villa,3,West Ham United,0,Saturday,August,14,2010,15:00,36604,Villa Park (Birmingham / England),https://www.worldfootball.net/venues/villa-park-birmingham/
0,Blackburn Rovers,1,Everton FC,0,Saturday,August,14,2010,15:00,25869,Ewood Park (Blackburn / England),https://www.worldfootball.net/venues/ewood-park-blackburn/
0,Sunderland AFC,2,Birmingham City,2,Saturday,August,14,2010,15:00,38390,Stadium of Light (Sunderland / England),https://www.worldfootball.net/venues/stadium-of-light-sunderland/
0,Chelsea FC,6,West Bromwich Albion,0,Saturday,August,14,2010,17:30,41589,Stamford Bridge (London / England),https://www.worldfootball.net/venues/stamford-bridge-london/
0,Liverpool FC,1,Arsenal FC,1,Sunday,August,15,2010,16:00,44722,Anfield (Liverpool / England),https://www.worldfootball.net/venues/anfield-liverpool/
0,Manchester United,3,Newcastle United,0,Monday,August,16,2010,20:00,75221,Old Trafford (Manchester / England),https://www.worldfootball.net/venues/old-trafford-manchester/
0,Arsenal FC,6,Blackpool FC,0,Saturday,August,21,2010,15:00,60032,Emirates Stadium (London / England),https://www.worldfootball.net/venues/emirates-stadium-london/
0,West Bromwich Albion,1,Sunderland AFC,0,Saturday,August,21,2010,15:00,23624,The Hawthorns (West Bromwich / England),https://www.worldfootball.net/venues/the-hawthorns-west-bromwich/
0,West Ham United,1,Bolton Wanderers,3,Saturday,August,21,2010,15:00,32533,Upton Park (London / England),https://www.worldfootball.net/venues/upton-park-london/
0,Birmingham City,2,Blackburn Rovers,1,Saturday,August,21,2010,15:00,21394,St Andrew's Ground (Birmingham / England),https://www.worldfootball.net/venues/st-andrews-ground-birmingham/
0,Stoke City,1,Tottenham Hotspur,2,Saturday,August,21,2010,15:00,27243,Britannia Stadium (Stoke-on-Trent / England),https://www.worldfootball.net/venues/bet365-stadium-stoke-on-trent/
0,Everton FC,1,Wolverhampton Wanderers,1,Saturday,August,21,2010,15:00,37767,Goodison Park (Liverpool / England),https://www.worldfootball.net/venues/goodison-park-liverpool/
0,Wigan Athletic,0,Chelsea FC,6,Saturday,August,21,2010,17:15,14476,DW Stadium (Wigan / England),https://www.worldfootball.net/venues/dw-stadium-wigan/
0,Newcastle United,6,Aston Villa,0,Sunday,August,22,2010,13:30,43546,St James' Park (Newcastle / England),https://www.worldfootball.net/venues/st-james-park-newcastle/
0,Fulham FC,2,Manchester United,2,Sunday,August,22,2010,16:00,25643,Craven Cottage (London / England),https://www.worldfootball.net/venues/craven-cottage-london/
0,Manchester City,3,Liverpool FC,0,Monday,August,23,2010,20:00,47087,City of Manchester Stadium (Manchester / England),https://www.worldfootball.net/venues/etihad-stadium-manchester/
0,Blackburn Rovers,1,Arsenal FC,2,Saturday,August,28,2010,12:45,25059,Ewood Park (Blackburn / England),https://www.worldfootball.net/venues/ewood-park-blackburn/
0,Tottenham Hotspur,0,Wigan Athletic,1,Saturday,August,28,2010,15:00,35101,White Hart Lane (London / England),https://www.worldfootball.net/venues/white-hart-lane-london/
0,Wolverhampton Wanderers,1,Newcastle United,1,Saturday,August,28,2010,15:00,27745,Molineux Stadium (Wolverhampton / England),https://www.worldfootball.net/venues/molineux-stadium-wolverhampton/
0,Chelsea FC,2,Stoke City,0,Saturday,August,28,2010,15:00,40931,Stamford Bridge (London / England),https://www.worldfootball.net/venues/stamford-bridge-london/
0,Blackpool FC,2,Fulham FC,2,Saturday,August,28,2010,15:00,15529,Bloomfield Road (Blackpool / England),https://www.worldfootball.net/venues/bloomfield-road-blackpool/
0,Manchester United,3,West Ham United,0,Saturday,August,28,2010,17:30,75061,Old Trafford (Manchester / England),https://www.worldfootball.net/venues/old-trafford-manchester/
0,Bolton Wanderers,2,Birmingham City,2,Sunday,August,29,2010,13:30,18139,Reebok Stadium (Bolton / England),https://www.worldfootball.net/venues/university-of-bolton-stadium-bolton/
0,Liverpool FC,1,West Bromwich Albion,0,Sunday,August,29,2010,15:00,41194,Anfield (Liverpool / England),https://www.worldfootball.net/venues/anfield-liverpool/
0,Sunderland AFC,1,Manchester City,0,Sunday,August,29,2010,15:00,38610,Stadium of Light (Sunderland / England),https://www.worldfootball.net/venues/stadium-of-light-sunderland/
0,Aston Villa,1,Everton FC,0,Sunday,August,29,2010,16:00,34725,Villa Park (Birmingham / England),https://www.worldfootball.net/venues/villa-park-birmingham/
0,Everton FC,3,Manchester United,3,Saturday,September,11,2010,12:45,36556,Goodison Park (Liverpool / England),https://www.worldfootball.net/venues/goodison-park-liverpool/
0,West Bromwich Albion,1,Tottenham Hotspur,1,Saturday,September,11,2010,15:00,23642,The Hawthorns (West Bromwich / England),https://www.worldfootball.net/venues/the-hawthorns-west-bromwich/
0,Fulham FC,2,Wolverhampton Wanderers,1,Saturday,September,11,2010,15:00,25280,Craven Cottage (London / England),https://www.worldfootball.net/venues/craven-cottage-london/
0,Wigan Athletic,1,Sunderland AFC,1,Saturday,September,11,2010,15:00,15844,DW Stadium (Wigan / England),https://www.worldfootball.net/venues/dw-stadium-wigan/
0,Arsenal FC,4,Bolton Wanderers,1,Saturday,September,11,2010,15:00,59876,Emirates Stadium (London / England),https://www.worldfootball.net/venues/emirates-stadium-london/
0,Newcastle United,0,Blackpool FC,2,Saturday,September,11,2010,15:00,49597,St James' Park (Newcastle / England),https://www.worldfootball.net/venues/st-james-park-newcastle/
0,Manchester City,1,Blackburn Rovers,1,Saturday,September,11,2010,15:00,44246,City of Manchester Stadium (Manchester / England),https://www.worldfootball.net/venues/etihad-stadium-manchester/
0,West Ham United,1,Chelsea FC,3,Saturday,September,11,2010,15:00,33014,Upton Park (London / England),https://www.worldfootball.net/venues/upton-park-london/
0,Birmingham City,0,Liverpool FC,0,Sunday,September,12,2010,16:00,27333,St Andrew's Ground (Birmingham / England),https://www.worldfootball.net/venues/st-andrews-ground-birmingham/
0,Stoke City,2,Aston Villa,1,Monday,September,13,2010,20:00,25899,Britannia Stadium (Stoke-on-Trent / England),https://www.worldfootball.net/venues/bet365-stadium-stoke-on-trent/
0,Stoke City,1,West Ham United,1,Saturday,September,18,2010,12:45,27028,Britannia Stadium (Stoke-on-Trent / England),https://www.worldfootball.net/venues/bet365-stadium-stoke-on-trent/
0,Tottenham Hotspur,3,Wolverhampton Wanderers,1,Saturday,September,18,2010,15:00,35940,White Hart Lane (London / England),https://www.worldfootball.net/venues/white-hart-lane-london/
0,West Bromwich Albion,3,Birmingham City,1,Saturday,September,18,2010,15:00,23062,The Hawthorns (West Bromwich / England),https://www.worldfootball.net/venues/the-hawthorns-west-bromwich/
0,Everton FC,0,Newcastle United,1,Saturday,September,18,2010,15:00,38019,Goodison Park (Liverpool / England),https://www.worldfootball.net/venues/goodison-park-liverpool/
0,Blackburn Rovers,1,Fulham FC,1,Saturday,September,18,2010,15:00,23759,Ewood Park (Blackburn / England),https://www.worldfootball.net/venues/ewood-park-blackburn/
0,Aston Villa,1,Bolton Wanderers,1,Saturday,September,18,2010,15:00,34655,Villa Park (Birmingham / England),https://www.worldfootball.net/venues/villa-park-birmingham/
