,date,time,day_of_week,date_time,raw_attendance,capacity_filled
0,2010-08-14,12:45,Saturday,2010-08-14 12:45:00,35928,0.9901885128431265
1,2010-08-28,15:00,Saturday,2010-08-28 15:00:00,35101,0.967396097453423
2,2010-09-18,15:00,Saturday,2010-09-18 15:00:00,35940,0.9905192371293132
3,2010-02-10,15:00,Saturday,2010-02-10 15:00:00,35871,0.9886175724837394
4,2010-10-23,12:45,Saturday,2010-10-23 12:45:00,35967,0.9912633667732333
5,2010-09-11,20:00,Tuesday,2010-09-11 20:00:00,35843,0.9878458824826369
6,2010-11-13,15:00,Saturday,2010-11-13 15:00:00,35700,0.9839047514055782
7,2010-11-28,16:00,Sunday,2010-11-28 16:00:00,35962,0.9911255649873222
8,2010-12-12,16:00,Sunday,2010-12-12 16:00:00,35787,0.9863025024804322
9,2010-12-28,15:00,Tuesday,2010-12-28 15:00:00,35927,0.9901609524859443
10,2011-01-01,15:00,Saturday,2011-01-01 15:00:00,35603,0.981231396758902
11,2011-01-16,16:10,Sunday,2011-01-16 16:10:00,35828,0.9874324771249036
12,2011-05-02,15:00,Saturday,2011-05-02 15:00:00,36197,0.997602248925146
13,2011-04-20,19:45,Wednesday,2011-04-20 19:45:00,36138,0.9959761878513945
14,2011-03-19,12:45,Saturday,2011-03-19 12:45:00,36010,0.9924484621320693
15,2011-09-04,15:00,Saturday,2011-09-04 15:00:00,32702,0.9012788005732554
16,2011-04-23,15:00,Saturday,2011-04-23 15:00:00,36160,0.9965825157094036
17,2011-07-05,17:30,Saturday,2011-07-05 17:30:00,35585,0.9807353103296219
18,2011-05-22,16:00,Sunday,2011-05-22 16:00:00,36119,0.9954525410649322
19,2012-11-01,19:45,Wednesday,2012-11-01 19:45:00,36132,0.9958108257083012
20,2011-08-28,13:30,Sunday,2011-08-28 13:30:00,36150,0.9963069121375813
21,2011-09-18,13:30,Sunday,2011-09-18 13:30:00,36129,0.9957281446367545
22,2011-02-10,16:00,Sunday,2011-02-10 16:00:00,36274,0.9997243964281777
23,2011-10-30,16:00,Sunday,2011-10-30 16:00:00,36147,0.9962242310660346
24,2011-11-21,20:00,Monday,2011-11-21 20:00:00,35818,0.9871568735530812
25,2011-03-12,15:00,Saturday,2011-03-12 15:00:00,35896,0.9893065814132951
26,2011-12-18,15:00,Sunday,2011-12-18 15:00:00,36021,0.9927516260610737
27,2011-12-22,20:00,Thursday,2011-12-22 20:00:00,36141,0.9960588689229413
28,2012-03-01,19:45,Tuesday,2012-03-01 19:45:00,36062,0.9938816007055451
29,2012-01-14,15:00,Saturday,2012-01-14 15:00:00,36194,0.9975195678535994
30,2012-01-31,19:45,Tuesday,2012-01-31 19:45:00,35801,0.9866883474809833
31,2012-11-02,17:30,Saturday,2012-11-02 17:30:00,36176,0.9970234814243193
