,stadium,url,capacity,google_urls
0,19 Mayis,https://www.worldfootball.net/venues/19-mayis-ankara/,21250.0,https://www.google.com/search?q=19+Mayis+capacity
1,19 Mayis,https://www.worldfootball.net/venues/19-mayis-manisa/,20000.0,https://www.google.com/search?q=19+Mayis+capacity
2,25 de Abril,https://www.worldfootball.net/venues/25-de-abril-penafiel/,6500.0,https://www.google.com/search?q=25+de+Abril+capacity
3,4 Eylül,https://www.worldfootball.net/venues/4-eyluel-sivas/,18700.0,https://www.google.com/search?q=4+Eylül+capacity
4,5 Ocak Fatih Terim Stadyumu,https://www.worldfootball.net/venues/5-ocak-fatih-terim-stadyumu-adana/,16095.0,https://www.google.com/search?q=5+Ocak+Fatih+Terim+Stadyumu+capacity
5,AFAS-Stadion Achter de Kazerne,https://www.worldfootball.net/venues/afas-stadion-achter-de-kazerne-mechelen/,18477.0,https://www.google.com/search?q=AFAS-Stadion+Achter+de+Kazerne+capacity
6,Abbe Deschamps,https://www.worldfootball.net/venues/abbe-deschamps-auxerre/,23493.0,https://www.google.com/search?q=Abbe+Deschamps+capacity
7,Abbey Stadium,https://www.worldfootball.net/venues/abbey-stadium-cambridge/,9018.0,https://www.google.com/search?q=Abbey+Stadium+capacity
8,Adams Park,https://www.worldfootball.net/venues/adams-park-wycombe/,10000.0,https://www.google.com/search?q=Adams+Park+capacity
9,Akdeniz Üniversitesi Stadyumu,https://www.worldfootball.net/venues/akdeniz-ueniversitesi-stadyumu-antalya/,8037.0,https://www.google.com/search?q=Akdeniz+Üniversitesi+Stadyumu+capacity
10,Alberto Braglia,https://www.worldfootball.net/venues/alberto-braglia-modena/,20507.0,https://www.google.com/search?q=Alberto+Braglia+capacity
11,Alberto Picco,https://www.worldfootball.net/venues/alberto-picco-la-spezia/,10336.0,https://www.google.com/search?q=Alberto+Picco+capacity
12,Alfredo Di Stéfano,https://www.worldfootball.net/venues/alfredo-di-stefano-madrid/,9000.0,https://www.google.com/search?q=Alfredo+Di+Stéfano+capacity
13,Allianz Riviera,https://www.worldfootball.net/venues/allianz-riviera-nice/,35624.0,https://www.google.com/search?q=Allianz+Riviera+capacity
14,Altrad Stadium,https://www.worldfootball.net/venues/altrad-stadium-montpellier/,14700.0,https://www.google.com/search?q=Altrad+Stadium+capacity
15,Amex Stadium,https://www.worldfootball.net/venues/amex-stadium-brighton/,30750.0,https://www.google.com/search?q=Amex+Stadium+capacity
16,An der Alten Försterei,https://www.worldfootball.net/venues/an-der-alten-foersterei-berlin/,22012.0,https://www.google.com/search?q=An+der+Alten+Försterei+capacity
17,Angelo Massimino,https://www.worldfootball.net/venues/angelo-massimino-catania/,23420.0,https://www.google.com/search?q=Angelo+Massimino+capacity
18,Antalya Arena,https://www.worldfootball.net/venues/antalya-arena-antalya/,32537.0,https://www.google.com/search?q=Antalya+Arena+capacity
19,António Coimbra da Mota,https://www.worldfootball.net/venues/antonio-coimbra-da-mota-estoril/,18000.0,https://www.google.com/search?q=António+Coimbra+da+Mota+capacity
20,Arechi,https://www.worldfootball.net/venues/arechi-salerno/,37245.0,https://www.google.com/search?q=Arechi+capacity
21,Arena Garibaldi – Romeo Anconetani,https://www.worldfootball.net/venues/arena-garibaldi-romeo-anconetani-pisa/,16173.0,https://www.google.com/search?q=Arena+Garibaldi+–+Romeo+Anconetani+capacity
22,Armand Cesari,https://www.worldfootball.net/venues/armand-cesari-bastia/,17000.0,https://www.google.com/search?q=Armand+Cesari+capacity
23,Armando Picchi,https://www.worldfootball.net/venues/armando-picchi-livorno/,18200.0,https://www.google.com/search?q=Armando+Picchi+capacity
24,Artemio Franchi,https://www.worldfootball.net/venues/artemio-franchi-firenze/,47284.0,https://www.google.com/search?q=Artemio+Franchi+capacity
25,Artemio Franchi,https://www.worldfootball.net/venues/artemio-franchi-siena/,13500.0,https://www.google.com/search?q=Artemio+Franchi+capacity
26,Ashton Gate,https://www.worldfootball.net/venues/ashton-gate-bristol/,27000.0,https://www.google.com/search?q=Ashton+Gate+capacity
27,Atatürk,https://www.worldfootball.net/venues/atatuerk-bursa/,25231.0,https://www.google.com/search?q=Atatürk+capacity
28,Atatürk,https://www.worldfootball.net/venues/atatuerk-denizli/,15459.0,https://www.google.com/search?q=Atatürk+capacity
29,Atatürk Olimpiyat Stadı,https://www.worldfootball.net/venues/atatuerk-olimpiyat-stadi-istanbul/,76761.0,https://www.google.com/search?q=Atatürk+Olimpiyat+Stadı+capacity
30,Audi Sportpark,https://www.worldfootball.net/venues/audi-sportpark-ingolstadt/,15800.0,https://www.google.com/search?q=Audi+Sportpark+capacity
31,Auguste Delaune,https://www.worldfootball.net/venues/auguste-delaune-reims/,21684.0,https://www.google.com/search?q=Auguste+Delaune+capacity
32,Aveiro Municipal,https://www.worldfootball.net/venues/aveiro-municipal-aveiro/,30000.0,https://www.google.com/search?q=Aveiro+Municipal+capacity
33,BBBank Wildpark,https://www.worldfootball.net/venues/bbbank-wildpark-karlsruhe/,20740.0,https://www.google.com/search?q=BBBank+Wildpark+capacity
34,BWT-Stadion am Hardtwald,https://www.worldfootball.net/venues/bwt-stadion-am-hardtwald-sandhausen/,15414.0,https://www.google.com/search?q=BWT-Stadion+am+Hardtwald+capacity
35,Bahçeşehir Okulları Stadyumu,https://www.worldfootball.net/venues/bahcesehir-okullari-stadyumu-alanya/,10842.0,https://www.google.com/search?q=Bahçeşehir+Okulları+Stadyumu+capacity
36,Balıkesir Atatürk Stadyumu,https://www.worldfootball.net/venues/balikesir-atatuerk-stadyumu-balikesir/,15800.0,https://www.google.com/search?q=Balıkesir+Atatürk+Stadyumu+capacity
37,BayArena,https://www.worldfootball.net/venues/bayarena-leverkusen/,30210.0,https://www.google.com/search?q=BayArena+capacity
38,Benito Stirpe,https://www.worldfootball.net/venues/benito-stirpe-frosinone/,16125.0,https://www.google.com/search?q=Benito+Stirpe+capacity
39,Benito Villamarín,https://www.worldfootball.net/venues/benito-villamarin-sevilla/,60721.0,https://www.google.com/search?q=Benito+Villamarín+capacity
40,Bloomfield Road,https://www.worldfootball.net/venues/bloomfield-road-blackpool/,16000.0,https://www.google.com/search?q=Bloomfield+Road+capacity
41,Blundell Park,https://www.worldfootball.net/venues/blundell-park-cleethorpes/,10033.0,https://www.google.com/search?q=Blundell+Park+capacity
42,Bootham Crescent,https://www.worldfootball.net/venues/bootham-crescent-york/,9034.0,https://www.google.com/search?q=Bootham+Crescent+capacity
43,Bornova Aziz Kocaoğlu Stadyumu,https://www.worldfootball.net/venues/bornova-aziz-kocaoglu-stadyumu-izmir/,9138.0,https://www.google.com/search?q=Bornova+Aziz+Kocaoğlu+Stadyumu+capacity
44,Borussia-Park,https://www.worldfootball.net/venues/borussia-park-moenchengladbach/,54057.0,https://www.google.com/search?q=Borussia-Park+capacity
45,Bosuil,https://www.worldfootball.net/venues/bosuil-antwerp/,16649.0,https://www.google.com/search?q=Bosuil+capacity
46,Boundary Park,https://www.worldfootball.net/venues/boundary-park-oldham/,13624.0,https://www.google.com/search?q=Boundary+Park+capacity
47,Bramall Lane,https://www.worldfootball.net/venues/bramall-lane-sheffield/,33000.0,https://www.google.com/search?q=Bramall+Lane+capacity
48,Bremer Brücke,https://www.worldfootball.net/venues/bremer-bruecke-osnabrueck/,16000.0,https://www.google.com/search?q=Bremer+Brücke+capacity
49,Brisbane Road,https://www.worldfootball.net/venues/brisbane-road-leyton/,9241.0,https://www.google.com/search?q=Brisbane+Road+capacity
50,Brita-Arena,https://www.worldfootball.net/venues/brita-arena-wiesbaden/,13500.0,https://www.google.com/search?q=Brita-Arena+capacity
51,Broadfield Stadium,https://www.worldfootball.net/venues/broadfield-stadium-crawley/,6134.0,https://www.google.com/search?q=Broadfield+Stadium+capacity
52,Bruchwegstadion,https://www.worldfootball.net/venues/bruchwegstadion-mainz/,20300.0,https://www.google.com/search?q=Bruchwegstadion+capacity
53,Brunton Park,https://www.worldfootball.net/venues/brunton-park-carlisle/,16651.0,https://www.google.com/search?q=Brunton+Park+capacity
54,Bursa Metropolitan Stadium,https://www.worldfootball.net/venues/bursa-metropolitan-stadium-bursa/,43331.0,https://www.google.com/search?q=Bursa+Metropolitan+Stadium+capacity
55,Caledonian Stadium,https://www.worldfootball.net/venues/caledonian-stadium-inverness/,7200.0,https://www.google.com/search?q=Caledonian+Stadium+capacity
56,Campo de Fútbol de Vallecas,https://www.worldfootball.net/venues/campo-de-futbol-de-vallecas-madrid/,14505.0,https://www.google.com/search?q=Campo+de+Fútbol+de+Vallecas+capacity
57,Cappielow Park,https://www.worldfootball.net/venues/cappielow-park-greenock/,11000.0,https://www.google.com/search?q=Cappielow+Park+capacity
58,Cardiff City Stadium,https://www.worldfootball.net/venues/cardiff-city-stadium-cardiff/,33000.0,https://www.google.com/search?q=Cardiff+City+Stadium+capacity
59,Carlo Castellani,https://www.worldfootball.net/venues/carlo-castellani-empoli/,19847.0,https://www.google.com/search?q=Carlo+Castellani+capacity
60,Carlo Zecchini,https://www.worldfootball.net/venues/carlo-zecchini-grosseto/,10200.0,https://www.google.com/search?q=Carlo+Zecchini+capacity
61,Carlos Belmonte,https://www.worldfootball.net/venues/carlos-belmonte-albacete/,18000.0,https://www.google.com/search?q=Carlos+Belmonte+capacity
62,Carrow Road,https://www.worldfootball.net/venues/carrow-road-norwich/,27244.0,https://www.google.com/search?q=Carrow+Road+capacity
63,Cartagonova,https://www.worldfootball.net/venues/cartagonova-cartagena/,14500.0,https://www.google.com/search?q=Cartagonova+capacity
64,Central Park,https://www.worldfootball.net/venues/central-park-cowdenbeath/,4370.0,https://www.google.com/search?q=Central+Park+capacity
65,Chigwell Construction Stadium,https://www.worldfootball.net/venues/chigwell-construction-stadium-dagenham/,6078.0,https://www.google.com/search?q=Chigwell+Construction+Stadium+capacity
66,Cino e Lillo Del Duca,https://www.worldfootball.net/venues/cino-e-lillo-del-duca-ascoli/,20000.0,https://www.google.com/search?q=Cino+e+Lillo+Del+Duca+capacity
67,Ciro Vigorito,https://www.worldfootball.net/venues/ciro-vigorito-benevento/,18975.0,https://www.google.com/search?q=Ciro+Vigorito+capacity
68,City Ground,https://www.worldfootball.net/venues/city-ground-nottingham/,30602.0,https://www.google.com/search?q=City+Ground+capacity
69,Ciudad Deportiva del Villarreal,https://www.worldfootball.net/venues/ciudad-deportiva-del-villarreal-villarreal/,5000.0,https://www.google.com/search?q=Ciudad+Deportiva+del+Villarreal+capacity
70,Ciudad de Valencia,https://www.worldfootball.net/venues/ciudad-de-valencia-valencia/,25354.0,https://www.google.com/search?q=Ciudad+de+Valencia+capacity
71,Coliseum Alfonso Pérez,https://www.worldfootball.net/venues/coliseum-alfonso-perez-getafe/,17393.0,https://www.google.com/search?q=Coliseum+Alfonso+Pérez+capacity
72,Comendador Almeida Freitas,https://www.worldfootball.net/venues/comendador-almeida-freitas-moreira-de-conegos/,6000.0,https://www.google.com/search?q=Comendador+Almeida+Freitas+capacity
73,Completely-Suzuki Stadium,https://www.worldfootball.net/venues/completely-suzuki-stadium-cheltenham/,7407.0,https://www.google.com/search?q=Completely-Suzuki+Stadium+capacity
74,Comunale Matusa,https://www.worldfootball.net/venues/comunale-matusa-frosinone/,9680.0,https://www.google.com/search?q=Comunale+Matusa+capacity
75,County Ground,https://www.worldfootball.net/venues/county-ground-swindon/,15728.0,https://www.google.com/search?q=County+Ground+capacity
76,Coventry Building Society Arena,https://www.worldfootball.net/venues/coventry-building-society-arena-coventry/,32609.0,https://www.google.com/search?q=Coventry+Building+Society+Arena+capacity
77,Cívitas Metropolitano,https://www.worldfootball.net/venues/civitas-metropolitano-madrid/,68456.0,https://www.google.com/search?q=Cívitas+Metropolitano+capacity
78,DW Stadium,https://www.worldfootball.net/venues/dw-stadium-wigan/,25138.0,https://www.google.com/search?q=DW+Stadium+capacity
79,Dacia Arena,https://www.worldfootball.net/venues/dacia-arena-udine/,25144.0,https://www.google.com/search?q=Dacia+Arena+capacity
80,Daknam,https://www.worldfootball.net/venues/daknam-lokeren/,8952.0,https://www.google.com/search?q=Daknam+capacity
81,De la Meinau,https://www.worldfootball.net/venues/de-la-meinau-strasbourg/,29000.0,https://www.google.com/search?q=De+la+Meinau+capacity
82,Deepdale,https://www.worldfootball.net/venues/deepdale-preston/,24525.0,https://www.google.com/search?q=Deepdale+capacity
83,Dens Park,https://www.worldfootball.net/venues/dens-park-dundee/,12085.0,https://www.google.com/search?q=Dens+Park+capacity
84,Deutsche Bank Park,https://www.worldfootball.net/venues/deutsche-bank-park-frankfurt-am-main/,51500.0,https://www.google.com/search?q=Deutsche+Bank+Park+capacity
85,Diaz Arena,https://www.worldfootball.net/venues/diaz-arena-oostende/,8432.0,https://www.google.com/search?q=Diaz+Arena+capacity
86,Dino Manuzzi,https://www.worldfootball.net/venues/dino-manuzzi-cesena/,23860.0,https://www.google.com/search?q=Dino+Manuzzi+capacity
87,Dominique-Duvauchelle,https://www.worldfootball.net/venues/dominique-duvauchelle-creteil/,10137.0,https://www.google.com/search?q=Dominique-Duvauchelle+capacity
88,Don Valley,https://www.worldfootball.net/venues/don-valley-sheffield/,25000.0,https://www.google.com/search?q=Don+Valley+capacity
89,Dr. Necmettin Şeyhoğlu,https://www.worldfootball.net/venues/dr-necmettin-seyhoglu-karabuek/,14000.0,https://www.google.com/search?q=Dr.+Necmettin+Şeyhoğlu+capacity
90,Dreisamstadion,https://www.worldfootball.net/venues/dreisamstadion-freiburg/,24000.0,https://www.google.com/search?q=Dreisamstadion+capacity
91,East End Park,https://www.worldfootball.net/venues/east-end-park-dunfermline/,11998.0,https://www.google.com/search?q=East+End+Park+capacity
92,Easter Road Stadium,https://www.worldfootball.net/venues/easter-road-stadium-edinburgh/,20250.0,https://www.google.com/search?q=Easter+Road+Stadium+capacity
93,Edgar Street,https://www.worldfootball.net/venues/edgar-street-hereford/,8843.0,https://www.google.com/search?q=Edgar+Street+capacity
94,Edgeley Park,https://www.worldfootball.net/venues/edgeley-park-stockport/,11000.0,https://www.google.com/search?q=Edgeley+Park+capacity
95,Eintracht-Stadion,https://www.worldfootball.net/venues/eintracht-stadion-braunschweig/,23325.0,https://www.google.com/search?q=Eintracht-Stadion+capacity
96,El Alcoraz,https://www.worldfootball.net/venues/el-alcoraz-huesca/,7638.0,https://www.google.com/search?q=El+Alcoraz+capacity
97,El Collao,https://www.worldfootball.net/venues/el-collao-alcoy/,4425.0,https://www.google.com/search?q=El+Collao+capacity
98,El Molinón,https://www.worldfootball.net/venues/el-molinon-gijon/,30000.0,https://www.google.com/search?q=El+Molinón+capacity
99,El Sadar,https://www.worldfootball.net/venues/el-sadar-pamplona/,19800.0,https://www.google.com/search?q=El+Sadar+capacity
100,El Sardinero,https://www.worldfootball.net/venues/el-sardinero-santander/,22222.0,https://www.google.com/search?q=El+Sardinero+capacity
101,El Toralín,https://www.worldfootball.net/venues/el-toralin-ponferrada/,8200.0,https://www.google.com/search?q=El+Toralín+capacity
102,Elland Road,https://www.worldfootball.net/venues/elland-road-leeds/,37890.0,https://www.google.com/search?q=Elland+Road+capacity
103,Ennio Tardini,https://www.worldfootball.net/venues/ennio-tardini-parma/,28783.0,https://www.google.com/search?q=Ennio+Tardini+capacity
104,Eryaman Stadyumu,https://www.worldfootball.net/venues/eryaman-stadyumu-ankara/,20500.0,https://www.google.com/search?q=Eryaman+Stadyumu+capacity
105,Erzgebirgsstadion,https://www.worldfootball.net/venues/erzgebirgsstadion-aue-bad-schlema/,15500.0,https://www.google.com/search?q=Erzgebirgsstadion+capacity
106,Eskişehir Atatürk Stadı,https://www.worldfootball.net/venues/eskisehir-atatuerk-stadi-eskisehir/,13520.0,https://www.google.com/search?q=Eskişehir+Atatürk+Stadı+capacity
107,Estadi Municipal de Reus,https://www.worldfootball.net/venues/estadi-municipal-de-reus-reus/,4500.0,https://www.google.com/search?q=Estadi+Municipal+de+Reus+capacity
