,0
napoli,ssc_napoli
sutton,sutton_united
doncaster,doncaster_rovers
reading,reading_fc
augsburg,fc_augsburg
macclesfield,macclesfield_town
pescara,pescara_calcio
tenerife,cd_tenerife
betis,real_betis
burton,burton_albion
southend,southend_united
genoa,genoa_cfc
goztep,göztepe
port_vale,port_vale_fc
cosenza,cosenza_calcio
vicenza,vicenza_calcio
verona,hellas_verona
millwall,millwall_fc
hertha,hertha_bsc
ankaragucu,mke_ankaragücü
tours,tours_fc
barcelona_b,fc_barcelona_b
wolves,wolverhampton_wanderers
brighton,brighton_&_hove_albion
albinoleffe,uc_albino_leffe
troyes,estac_troyes
siena,ac_siena
rangers,rangers_fc
frosinone,frosinone_calcio
benevento,benevento_calcio
quevilly_rouen,us_quevilly_rouen
nantes,fc_nantes
santa_clara,cd_santa_clara
tranmere,tranmere_rovers
empoli,empoli_fc
st._gilloise,union_saint_gilloise
paderborn,sc_paderborn_07
hereford,hereford_united
portogruaro,portogruaro_summaga
livingston,livingston_fc
kortrijk,kv_kortrijk
fenerbahçe,fenerbahce
ascoli,ascoli_calcio
bourg_peronnas,fc_bourg_péronnas
eskişehirspor,eskisehirspor
liverpool,liverpool_fc
aalen,vf_r_aalen
blackpool,blackpool_fc
bournemouth,afc_bournemouth
leonesa,cd_leonesa
nice,ogc_nice
leverkusen,bayer_leverkusen
mouscron_peruwelz,royal_excel_mouscron
chievo,chievo_verona
vallecano,rayo_vallecano
dresden,dynamo_dresden
cittadella,as_cittadella
nocerina,asg_nocerina
bastia,sc_bastia
st_pauli,fc_st._pauli
triestina,us_triestina
ein_frankfurt,eintracht_frankfurt
guingamp,ea_guingamp
sunderland,sunderland_afc
cheltenham,cheltenham_town
milan,ac_milan
seraing,rfc_seraing
pacos_ferreira,paços_de_ferreira
crewe,crewe_alexandra
exeter,exeter_city
nimes,nîmes_olympique
le_mans,le_mans_fc
nacional,cd_nacional
schalke_04,fc_schalke_04
getafe,getafe_cf
salford,salford_city
wolfsburg,vf_l_wolfsburg
huddersfield,huddersfield_town
guimaraes,vitória_guimarães
arles,ac_arles_avignon
bristol_rvs,bristol_rovers
salamanca,ud_salamanca
avellino,as_avellino
man_united,manchester_united
duisburg,msv_duisburg
torino,torino_fc
porto,fc_porto
sandhausen,sv_sandhausen
istres,fc_istres
rochdale,rochdale_afc
estoril,gd_estoril
regensburg,jahn_regensburg
logrones,ud_logroñés
gaziantep,gaziantep_fk
villarreal_b,villarreal_cf_b
piacenza,piacenza_calcio
peterhead,peterhead_fc
cartagena,fc_cartagena
swansea,swansea_city
guadalajara,cd_guadalajara
brescia,brescia_calcio
waregem,sv_zulte_waregem
queen_of_sth,queen_of_the_south
gimnastic,gimnàstic_de_tarragona
maritimo,cs_marítimo
real_madrid_b,real_madrid_castilla
padova,calcio_padova
harrogate,harrogate_town
kilmarnock,kilmarnock_fc
almeria,ud_almería
spal,spal_2013_ferrara
recreativo,recreativo_huelva
kaiserslautern,1._fc_kaiserslautern
man_city,manchester_city
novara,novara_calcio
strasbourg,rc_strasbourg
alessandria,us_alessandria_1912
arouca,fc_arouca
burgos,burgos_cf
creteil,us_créteil_lusitanos
dunfermline,dunfermline_athletic
heidenheim,1._fc_heidenheim_1846
west_brom,west_bromwich_albion
bayern_munich,bayern_münchen
anderlecht,rsc_anderlecht
hull,hull_city
latina,latina_calcio
walsall,walsall_fc
las_palmas,ud_las_palmas
niort,chamois_niortais
aberdeen,aberdeen_fc
southampton,southampton_fc
carlisle,carlisle_united
cesena,ac_cesena
alcoyano,cd_alcoyano
ofi,ofi_heraklion
preston,preston_north_end
yeovil,yeovil_town
alcorcon,ad_alcorcón
ingolstadt,fc_ingolstadt_04
stranraer,stranraer_fc
st_johnstone,st._johnstone_fc
gfc_ajaccio,ajaccio_gfco
sp_gijon,sporting_gijón
westerlo,kvc_westerlo
fuenlabrada,cf_fuenlabrada
