,Unnamed: 0_x,home_team,home_score,away_team,away_score,day_of_week,month,day_of_month,year,time,raw_attendance,stadium_x,a_href,Hohome_teammeTeam,date,Unnamed: 0_y,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,Unnamed: 58,Unnamed: 59,Unnamed: 60,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Unnamed: 70,Unnamed: 71,Unnamed: 72,Referee,PSH,PSD,PSA,PSCH,PSCD,PSCA,HFKC,AFKC,Time,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,Unnamed: 105,index,stadium_y,City,Country,Capacity,url,_merge
5075,0,blackpool_fc,0,huddersfield_town,0,Saturday,5,2,2015,12:15,Mick Russell (England),Bloomfield Road (Blackpool / England),https://www.worldfootball.net/venues/bloomfield-road-blackpool/,blackpool_fc,2015-02-05,541.0,E1,2015-02-05,blackpool_fc,huddersfield_town,0.0,0.0,D,0.0,0.0,D,4.5,3.8,1.85,4.1,3.5,1.83,,,,4.0,3.2,1.8,4.0,3.75,1.85,,,,4.2,3.5,1.85,,,,4.33,3.9,1.85,,,,47.0,4.6,4.17,3.91,3.71,1.87,1.81,40.0,1.74,1.67,2.27,2.14,28.0,0.75,1.85,1.8,2.12,2.05,,,,6.0,7.0,3.0,3.0,5.0,4.0,2.0,5.0,2.0,0.0,0.0,0.0,,,,M Russell,4.28,3.91,1.86,4.64,3.9,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,Bloomfield Road,Blackpool,England,16000.0,https://www.worldfootball.net/venues/bloomfield-road-blackpool/,both
15858,0,wycombe_wanderers,3,scunthorpe_united,2,Saturday,10,20,2018,15:00,Alan Young (England),Adams Park (Wycombe / England),https://www.worldfootball.net/venues/adams-park-wycombe/,wycombe_wanderers,2018-10-20,163.0,E2,2018-10-20,wycombe_wanderers,scunthorpe_united,3.0,2.0,H,1.0,2.0,A,2.25,3.6,3.3,2.15,3.5,3.1,,,,2.05,3.3,3.1,,,,,,,2.15,3.6,3.2,,,,2.2,3.7,3.2,,,,39.0,2.25,2.16,3.7,3.5,3.4,3.18,37.0,1.87,1.82,2.04,1.95,20.0,-0.25,1.98,1.86,2.04,1.96,,,,12.0,8.0,4.0,4.0,19.0,13.0,6.0,6.0,4.0,2.0,1.0,0.0,,,,A Young,2.2,3.67,3.22,2.15,3.75,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10474,Adams Park,Wycombe,England,10000.0,https://www.worldfootball.net/venues/adams-park-wycombe/,both
17011,0,rochdale_afc,1,plymouth_argyle,1,Tuesday,4,24,2018,19:45,Darren Drysdale (England),Spotland (Rochdale / England),https://www.worldfootball.net/venues/spotland-rochdale/,rochdale_afc,2018-04-24,523.0,E2,2018-04-24,rochdale_afc,plymouth_argyle,1.0,1.0,D,0.0,0.0,D,1.9,3.6,4.5,1.87,3.4,4.1,,,,1.85,3.25,3.85,1.95,3.3,4.0,,,,1.91,3.4,4.2,,,,1.95,3.6,4.0,,,,39.0,2.0,1.91,3.6,3.41,4.5,4.02,36.0,2.11,2.03,1.81,1.75,17.0,-0.5,1.95,1.91,1.99,1.92,,,,15.0,15.0,5.0,5.0,14.0,6.0,8.0,6.0,0.0,3.0,0.0,0.0,,,,D Drysdale,1.95,3.5,4.3,1.85,3.72,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12146,Spotland,Rochdale,England,10249.0,https://www.worldfootball.net/venues/spotland-rochdale/,both
19885,0,stevenage_fc,0,crawley_town,0,Saturday,12,7,2019,15:00,Brett Huxtable (England),Lamex Stadium (Stevenage / England),https://www.worldfootball.net/venues/lamex-stadium-stevenage/,stevenage_fc,2019-07-12,233.0,E3,2019-07-12,stevenage_fc,crawley_town,0.0,0.0,D,0.0,0.0,D,2.3,3.5,3.25,2.2,3.25,3.25,,,,2.15,3.15,3.0,,,,,,,2.25,3.4,3.1,,,,2.3,3.5,3.13,,,,,,,,,,,,,,,,,,,,,,,,,7.0,9.0,1.0,1.0,9.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,,,,B Huxtable,2.32,3.45,3.17,2.39,3.58,2.96,,,15:00,2.37,3.5,3.28,2.25,3.33,3.13,2.05,1.75,2.05,1.78,2.11,1.84,2.03,1.77,-0.25,1.98,1.88,1.98,1.86,2.0,1.95,1.94,1.87,2.4,3.6,3.0,2.2,3.25,3.25,2.25,3.2,2.85,2.35,3.4,2.9,2.38,3.6,2.88,2.46,3.6,3.25,2.33,3.4,2.95,1.95,1.85,1.95,1.93,2.03,1.95,1.95,1.85,-0.25,2.1,1.77,2.08,1.83,2.16,1.85,2.04,1.8,,12699,Lamex Stadium,Stevenage,England,6722.0,https://www.worldfootball.net/venues/lamex-stadium-stevenage/,both
21363,0,gillingham_fc,2,peterborough_united,4,Saturday,9,22,2018,15:00,Lee Swabey (England),MEMS Priestfield Stadium (Gillingham / England),https://www.worldfootball.net/venues/mems-priestfield-stadium-gillingham/,gillingham_fc,2018-09-22,101.0,E2,2018-09-22,gillingham_fc,peterborough_united,2.0,4.0,A,0.0,1.0,A,3.1,4.0,2.2,3.0,3.5,2.2,,,,2.75,3.5,2.2,,,,,,,2.88,3.8,2.25,,,,3.0,4.0,2.1,,,,38.0,3.15,2.91,4.0,3.66,2.33,2.23,33.0,1.67,1.6,2.42,2.27,20.0,0.25,1.95,1.86,2.05,1.96,,,,12.0,14.0,5.0,9.0,16.0,14.0,8.0,5.0,4.0,2.0,0.0,0.0,,,,L Swabey,2.87,3.75,2.33,3.04,3.76,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13796,MEMS Priestfield Stadium,Gillingham,England,11582.0,https://www.worldfootball.net/venues/mems-priestfield-stadium-gillingham/,both
21364,0,gillingham_fc,0,blackpool_fc,1,Tuesday,11,6,2018,19:45,Craig Hicks (England),MEMS Priestfield Stadium (Gillingham / England),https://www.worldfootball.net/venues/mems-priestfield-stadium-gillingham/,gillingham_fc,2018-06-11,200.0,E2,2018-06-11,gillingham_fc,blackpool_fc,0.0,1.0,A,0.0,0.0,D,2.7,3.4,2.8,2.7,3.2,2.6,,,,2.5,3.1,2.6,,,,,,,2.55,3.3,2.75,,,,2.63,3.4,2.75,,,,38.0,2.8,2.6,3.4,3.27,2.82,2.71,36.0,2.07,2.0,1.87,1.79,18.0,-0.25,2.31,2.21,1.71,1.66,,,,12.0,3.0,3.0,2.0,15.0,15.0,5.0,4.0,1.0,2.0,0.0,0.0,,,,C Hicks,2.63,3.38,2.82,2.7,3.45,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13796,MEMS Priestfield Stadium,Gillingham,England,11582.0,https://www.worldfootball.net/venues/mems-priestfield-stadium-gillingham/,both
27213,0,as_bari,4,novara_calcio,1,Friday,5,30,2014,19:30,Maurizio Mariani (Italy),San Nicola (Bari / Italy),https://www.worldfootball.net/venues/san-nicola-bari/,as_bari,2014-05-30,451.0,I2,2014-05-30,as_bari,novara_calcio,4.0,1.0,H,0.0,0.0,D,1.4,4.0,7.0,1.48,4.0,6.5,,,,1.4,3.7,7.5,1.4,3.9,7.5,,,,1.44,3.75,6.0,1.44,4.0,7.0,1.44,4.0,8.0,,,,51.0,1.48,1.42,4.8,4.06,9.0,7.35,46.0,1.83,1.73,2.18,2.07,26.0,-1.0,1.77,1.73,2.22,2.14,,,,,,,,,,,,,,,,,,,,1.41,4.76,8.87,1.48,4.44,7.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26288,San Nicola,Bari,Italy,58000.0,https://www.worldfootball.net/venues/san-nicola-bari/,both
28635,0,genoa_cfc,2,us_palermo,0,Sunday,5,13,2012,19:45,without spectators,Luigi Ferraris (Genova / Italy),https://www.worldfootball.net/venues/luigi-ferraris-genova/,genoa_cfc,2012-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26292,Luigi Ferraris,Genova,Italy,36603.0,https://www.worldfootball.net/venues/luigi-ferraris-genova/,both
29150,0,us_palermo,2,atalanta,2,Wednesday,4,20,2016,19:45,without spectators,Renzo Barbera (Palermo / Italy),https://www.worldfootball.net/venues/renzo-barbera-palermo/,us_palermo,2016-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26293,Renzo Barbera,Palermo,Italy,37000.0,https://www.worldfootball.net/venues/renzo-barbera-palermo/,both
29192,0,us_palermo,0,fc_crotone,0,Friday,5,30,2014,19:30,Emilio Ostinelli (Italy),Renzo Barbera (Palermo / Italy),https://www.worldfootball.net/venues/renzo-barbera-palermo/,us_palermo,2014-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26293,Renzo Barbera,Palermo,Italy,37000.0,https://www.worldfootball.net/venues/renzo-barbera-palermo/,both
