,div,size,Unnamed: 0_x,home_team,home_score,away_team,away_score,day_of_week,month,day_of_month,year,time,attendance,stadium_x,a_href,Hohome_teammeTeam,date,Unnamed: 0_y,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,Unnamed: 58,Unnamed: 59,Unnamed: 60,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Unnamed: 70,Unnamed: 71,Unnamed: 72,Referee,PSH,PSD,PSA,PSCH,PSCD,PSCA,HFKC,AFKC,Time,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,Unnamed: 105,index,stadium_y,City,Country,Capacity,url,_merge
0,E0,3619,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,68.53,68.53,68.53,0.03,0.03,0.03,16.03,16.03,16.03,79.00,79.00,79.00,0.00,0.00,0.00,56.89,56.89,56.89,0.00,0.00,0.00,68.50,68.50,68.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.78,5.78,5.78,5.78,5.78,5.78,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,0.00,21.00,21.00,21.00,21.00,21.00,21.00,100.00,100.00,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,E1,5266,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,68.57,68.57,68.57,0.11,0.11,0.11,16.16,16.16,16.16,79.04,79.04,79.04,0.04,0.04,0.04,56.49,56.49,56.49,0.02,0.02,0.02,68.57,68.57,68.57,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.91,5.91,5.91,5.91,5.91,5.91,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,10.46,20.98,20.98,20.98,20.96,20.96,20.96,100.00,100.00,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.40,94.40,94.40,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,94.32,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,E2,5224,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.29,0.29,0.29,68.36,68.36,68.36,0.29,0.29,0.29,15.47,15.47,15.47,78.89,78.89,78.89,0.02,0.02,0.02,56.01,56.01,56.01,0.04,0.04,0.04,68.32,68.32,68.32,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,5.13,5.13,5.13,5.13,5.13,5.13,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,10.57,21.61,21.61,21.61,21.17,21.17,21.17,100.00,100.00,95.10,95.12,95.12,95.12,95.12,95.12,95.12,95.14,95.14,95.29,95.29,95.12,95.12,95.12,95.12,95.12,95.35,95.35,95.29,95.29,95.12,95.12,95.12,95.12,95.10,95.10,95.10,95.14,95.14,95.14,95.12,95.12,95.12,95.10,95.10,95.10,95.10,95.10,95.10,95.10,95.10,95.10,95.10,95.10,95.10,95.10,95.10,95.14,95.14,95.10,95.10,95.10,95.10,95.10,95.16,95.16,95.14,95.14,95.10,95.10,95.10,95.10,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,E3,5250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.06,0.32,0.32,0.32,68.48,68.48,68.48,0.34,0.34,0.34,15.89,15.89,15.89,79.01,79.01,79.01,0.08,0.08,0.08,56.15,56.15,56.15,0.08,0.08,0.08,68.48,68.48,68.48,5.37,5.37,5.37,5.37,5.37,5.37,5.37,5.37,5.37,5.37,5.37,5.37,5.60,5.60,5.60,5.60,5.60,5.60,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,10.51,21.22,21.22,21.22,21.14,21.14,21.14,100.00,100.00,94.63,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.72,94.72,94.69,94.69,94.69,94.69,94.69,94.70,94.70,94.72,94.72,94.69,94.69,94.69,94.69,94.63,94.63,94.63,94.69,94.69,94.69,94.70,94.70,94.70,94.63,94.63,94.63,94.63,94.63,94.63,94.63,94.63,94.63,94.63,94.63,94.63,94.63,94.63,94.67,94.67,94.63,94.63,94.63,94.63,94.63,94.65,94.65,94.67,94.67,94.63,94.63,94.63,94.63,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,I1,3303,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.06,0.06,0.06,0.09,0.09,0.09,69.18,69.18,69.18,0.39,0.39,0.39,15.02,15.02,15.02,79.99,79.99,79.99,0.09,0.09,0.09,56.98,56.98,56.98,0.39,0.39,0.39,69.36,69.36,69.36,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,100.00,100.00,100.00,100.00,20.89,20.89,20.89,20.71,20.71,20.71,100.00,100.00,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,95.40,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,I2,3675,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.71,0.71,0.71,62.75,62.75,62.75,3.43,3.43,3.43,15.07,15.07,15.07,75.95,75.95,75.95,1.09,1.09,1.09,53.47,53.47,53.47,1.22,1.22,1.22,63.67,63.67,63.67,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,100.00,100.00,100.00,79.16,79.16,79.16,79.16,79.18,79.18,79.16,79.16,79.16,79.16,79.16,79.16,100.00,100.00,100.00,100.00,28.27,28.27,28.27,25.77,25.77,25.77,100.00,100.00,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.91,94.91,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.91,94.91,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,95.07,95.07,95.07,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,F1,3511,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.03,0.03,0.00,0.00,0.00,68.64,68.64,68.64,0.14,0.14,0.14,16.21,16.21,16.21,78.92,78.92,78.92,0.03,0.03,0.03,57.13,57.13,57.13,0.03,0.03,0.03,68.64,68.64,68.64,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.61,5.61,5.61,5.61,5.61,5.61,100.00,100.00,100.00,0.03,0.03,0.03,0.03,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.03,100.00,100.00,100.00,100.00,21.28,21.28,21.28,21.08,21.08,21.08,100.00,100.00,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.70,94.70,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,F2,3059,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.07,65.90,65.90,65.90,0.49,0.49,0.49,15.92,15.92,15.92,77.18,77.18,77.18,0.23,0.23,0.23,54.33,54.33,54.33,0.13,0.13,0.13,66.03,66.03,66.03,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.85,5.85,5.85,5.85,5.85,5.85,100.00,100.00,100.00,74.73,74.73,74.73,74.73,84.73,84.73,74.73,74.73,74.73,74.73,74.73,74.73,100.00,100.00,100.00,100.00,23.24,23.24,23.24,22.98,22.98,22.98,90.00,90.00,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.74,94.74,94.70,94.70,94.70,94.70,94.70,94.74,94.74,94.74,94.74,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,SP1,3220,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.75,64.75,64.75,0.09,0.09,0.09,17.45,17.45,17.45,76.49,76.49,76.49,0.00,0.00,0.00,51.89,51.89,51.89,0.03,0.03,0.03,64.60,64.60,64.60,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.90,5.90,5.90,5.90,5.90,5.90,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,23.70,23.70,23.70,23.63,23.63,23.63,100.00,100.00,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,94.41,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
