,Unnamed: 0_x,home_team,home_score,away_team,away_score,day_of_week,month,day_of_month,year,time,attendance,stadium_x,a_href,Hohome_teammeTeam,date,Unnamed: 0_y,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,Unnamed: 58,Unnamed: 59,Unnamed: 60,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Unnamed: 70,Unnamed: 71,Unnamed: 72,Referee,PSH,PSD,PSA,PSCH,PSCD,PSCA,HFKC,AFKC,Time,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,Unnamed: 105,index,stadium_y,City,Country,Capacity,url,_merge
26403,0,udinese_calcio,2,us_palermo,1,Sunday,10,24,2010,14:00,14714,Stadio Friuli (Udine / Italy),https://www.worldfootball.net/venues/dacia-arena-udine/,udinese_calcio,2010-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26286,Dacia Arena,Udine,Italy,25144.0,https://www.worldfootball.net/venues/dacia-arena-udine/,both
26423,0,udinese_calcio,1,us_palermo,0,Sunday,10,30,2011,14:00,13000,Stadio Friuli (Udine / Italy),https://www.worldfootball.net/venues/dacia-arena-udine/,udinese_calcio,2011-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26286,Dacia Arena,Udine,Italy,25144.0,https://www.worldfootball.net/venues/dacia-arena-udine/,both
26445,0,udinese_calcio,1,us_palermo,1,Saturday,12,15,2012,17:00,6300,Stadio Friuli (Udine / Italy),https://www.worldfootball.net/venues/dacia-arena-udine/,udinese_calcio,2012-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26286,Dacia Arena,Udine,Italy,25144.0,https://www.worldfootball.net/venues/dacia-arena-udine/,both
26490,0,udinese_calcio,1,us_palermo,3,Sunday,4,12,2015,14:00,8704,Stadio Friuli (Udine / Italy),https://www.worldfootball.net/venues/dacia-arena-udine/,udinese_calcio,2015-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26286,Dacia Arena,Udine,Italy,25144.0,https://www.worldfootball.net/venues/dacia-arena-udine/,both
26495,0,udinese_calcio,0,us_palermo,1,Sunday,8,30,2015,19:45,13200,Stadio Friuli (Udine / Italy),https://www.worldfootball.net/venues/dacia-arena-udine/,udinese_calcio,2015-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26286,Dacia Arena,Udine,Italy,25144.0,https://www.worldfootball.net/venues/dacia-arena-udine/,both
26528,0,udinese_calcio,4,us_palermo,1,Sunday,3,19,2017,17:00,15469,Dacia Arena (Udine / Italy),https://www.worldfootball.net/venues/dacia-arena-udine/,udinese_calcio,2017-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26286,Dacia Arena,Udine,Italy,25144.0,https://www.worldfootball.net/venues/dacia-arena-udine/,both
26562,0,udinese_calcio,1,parma_calcio_1913,2,Saturday,1,19,2019,17:00,15889,Dacia Arena (Udine / Italy),https://www.worldfootball.net/venues/dacia-arena-udine/,udinese_calcio,2019-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26286,Dacia Arena,Udine,Italy,25144.0,https://www.worldfootball.net/venues/dacia-arena-udine/,both
26572,0,udinese_calcio,1,parma_calcio_1913,3,Sunday,9,1,2019,19:45,20410,Dacia Arena (Udine / Italy),https://www.worldfootball.net/venues/dacia-arena-udine/,udinese_calcio,2019-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26286,Dacia Arena,Udine,Italy,25144.0,https://www.worldfootball.net/venues/dacia-arena-udine/,both
26681,0,lazio_roma,2,us_palermo,0,Sunday,3,6,2011,19:45,24251,Olimpico (Roma / Italy),https://www.worldfootball.net/venues/olimpico-roma/,lazio_roma,2011-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26287,Stadium News,Roma,Italy,70634.0,https://www.worldfootball.net/venues/olimpico-roma/,both
26686,0,as_roma,2,us_palermo,3,Saturday,4,16,2011,17:00,33851,Olimpico (Roma / Italy),https://www.worldfootball.net/venues/olimpico-roma/,as_roma,2011-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26287,Stadium News,Roma,Italy,70634.0,https://www.worldfootball.net/venues/olimpico-roma/,both
