,date_time,raw_attendance,capacity_filled,day,month,year
0,2010-01-10,6471.0,0.33212149396392304,10,1,2010
1,2010-01-11,10052.0,0.47532624665111056,11,1,2010
2,2010-01-12,30498.5,0.7019493079879071,12,1,2010
3,2010-02-10,11115.0,0.5231111111111111,10,2,2010
4,2010-02-11,4526.5,0.401719568283319,11,2,2010
5,2010-03-10,22358.0,0.7035471500784382,10,3,2010
6,2010-03-12,7083.5,0.3839047619047619,12,3,2010
7,2010-04-09,5505.0,0.4310152768936983,9,4,2010
8,2010-04-10,7183.5,0.41119205799277175,10,4,2010
9,2010-04-12,14774.5,0.5529282107906008,12,4,2010
10,2010-05-09,5156.0,0.4022988992907899,9,5,2010
11,2010-05-11,6188.0,0.28852219225670794,11,5,2010
12,2010-05-12,19008.0,0.65,12,5,2010
13,2010-06-08,5187.0,0.4339791921177115,8,6,2010
14,2010-06-10,5705.0,0.5748110831234257,10,6,2010
15,2010-06-11,15400.0,0.6244303797468355,11,6,2010
16,2010-06-12,26539.5,0.5636595515329987,12,6,2010
17,2010-07-08,10381.0,0.5607379375591296,8,7,2010
18,2010-07-11,23013.0,0.7194164856116703,11,7,2010
19,2010-07-12,6816.5,0.4832605802473837,12,7,2010
20,2010-08-08,21244.0,0.6442614383593139,8,8,2010
21,2010-08-11,17509.0,0.5524459543018008,11,8,2010
22,2010-08-12,9556.5,0.3932955048859935,12,8,2010
23,2010-08-13,6155.0,0.324633176395301,13,8,2010
24,2010-08-14,11160.0,0.6155692291895808,14,8,2010
25,2010-08-15,24986.0,0.8270518178792026,15,8,2010
26,2010-08-16,40535.0,0.6168220968731087,16,8,2010
27,2010-08-17,5869.0,0.38275059412132584,17,8,2010
28,2010-08-20,6381.0,0.327221384941235,20,8,2010
29,2010-08-21,14476.0,0.5758612459225078,21,8,2010
30,2010-08-22,8454.0,0.41208871557397025,22,8,2010
31,2010-08-23,30838.5,0.6882371218224509,23,8,2010
32,2010-08-26,5827.0,0.325986013986014,26,8,2010
33,2010-08-27,8146.0,0.44748639549898545,27,8,2010
34,2010-08-28,9532.0,0.5656326530612245,28,8,2010
35,2010-08-29,22185.5,0.6213074069560979,29,8,2010
36,2010-08-30,6229.0,0.3664117647058823,30,8,2010
37,2010-09-08,17400.0,0.45194805194805193,8,9,2010
38,2010-09-10,5440.5,0.40886662490318854,10,9,2010
39,2010-09-11,8994.0,0.4705008569796229,11,9,2010
40,2010-09-13,8321.5,0.45455326460481105,13,9,2010
41,2010-09-14,14626.0,0.5928481197517341,14,9,2010
42,2010-09-15,8133.0,0.36968181818181817,15,9,2010
43,2010-09-17,6148.0,0.40986666666666666,17,9,2010
44,2010-09-18,12044.5,0.5408013602944926,18,9,2010
45,2010-09-19,23566.0,0.6175908982417058,19,9,2010
46,2010-09-20,8137.0,0.37525364323925475,20,9,2010
47,2010-09-21,25225.0,0.8803230008984726,21,9,2010
48,2010-09-22,24500.0,0.6738228959075628,22,9,2010
49,2010-09-23,18303.5,0.6822435480031283,23,9,2010
50,2010-09-24,6107.5,0.35307152003751396,24,9,2010
51,2010-09-25,12000.0,0.5519934670653162,25,9,2010
52,2010-09-26,16833.0,0.5884708847088471,26,9,2010
53,2010-09-27,4963.0,0.2790505281914217,27,9,2010
54,2010-09-28,6128.5,0.5024553281957483,28,9,2010
55,2010-10-09,6281.0,0.32190047133173355,9,10,2010
56,2010-10-10,4643.0,0.2799944001119978,10,10,2010
57,2010-10-11,21179.0,0.6884453316488166,11,10,2010
58,2010-10-12,10426.5,0.7011941085148485,12,10,2010
59,2010-10-13,4774.0,0.2539,13,10,2010
60,2010-10-15,6304.5,0.32103506140091764,15,10,2010
61,2010-10-16,12406.0,0.5661831961322358,16,10,2010
62,2010-10-17,16113.0,0.6520765765765766,17,10,2010
63,2010-10-18,8915.0,0.5941748866968808,18,10,2010
64,2010-10-19,11179.0,0.45582059123343527,19,10,2010
65,2010-10-22,6680.0,0.3106120929430282,22,10,2010
66,2010-10-23,8601.0,0.5126537647888427,23,10,2010
67,2010-10-24,21000.0,0.6591505879666628,24,10,2010
68,2010-10-25,20747.0,0.547558722618105,25,10,2010
69,2010-10-29,6190.5,0.40661904761904766,29,10,2010
70,2010-10-30,11376.0,0.5735345429169574,30,10,2010
71,2010-10-31,16853.5,0.6148921439810121,31,10,2010
72,2010-11-09,13725.0,0.5739591897875427,9,11,2010
73,2010-11-10,9065.0,0.5763606307222787,10,11,2010
74,2010-11-11,16009.0,0.5561963659104332,11,11,2010
75,2010-11-12,12976.0,0.5346301465457083,12,11,2010
76,2010-11-13,9588.0,0.5036702834635993,13,11,2010
77,2010-11-14,19263.0,0.6691131042891478,14,11,2010
78,2010-11-15,7598.5,0.4288593234027708,15,11,2010
79,2010-11-19,2738.0,0.44161290322580643,19,11,2010
80,2010-11-20,13054.0,0.5425548523206751,20,11,2010
81,2010-11-21,14902.0,0.5986004859571127,21,11,2010
82,2010-11-22,10000.0,0.5749439429655608,22,11,2010
83,2010-11-23,4571.0,0.3784587920261827,23,11,2010
84,2010-11-26,7035.0,0.32443276148312117,26,11,2010
85,2010-11-27,15037.5,0.6304836538830585,27,11,2010
86,2010-11-28,15591.0,0.612104954531665,28,11,2010
87,2010-11-29,16376.5,0.7191106679754095,29,11,2010
88,2010-11-30,8250.0,0.5583933502485668,30,11,2010
89,2010-12-09,20000.0,0.6354123978908832,9,12,2010
90,2010-12-11,6370.0,0.3174207693840941,11,12,2010
91,2010-12-12,19991.0,0.6,12,12,2010
92,2010-12-13,28000.0,0.509090909090909,13,12,2010
93,2010-12-14,2437.5,0.23465821548020194,14,12,2010
94,2010-12-17,6021.5,0.33730124837040254,17,12,2010
95,2010-12-18,16728.0,0.5780346820809249,18,12,2010
